"idBank";"Dernière mise à jour";"Périodicité";"Nature";"Unité";"Zone géographique";"Puissance";"Indicateur";"Correction";"Sexe";"Âge";"Catalogue d'indicateurs démographiques";"Série arrêtée"
"000436387";"28/11/2025 12:00";"Mensuelle";"Valeur absolue";"individus";"France métropolitaine";"3";"Population au début du mois";"Non corrigé";"Sans objet";"Sans objet";"Population au début de la période";"oui"
"001641607";"28/11/2025 12:00";"Mensuelle";"Valeur absolue";"individus";"France";"3";"Population au début du mois";"Non corrigé";"Sans objet";"Sans objet";"Population au début de la période";"oui"
"001686813";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 15 à 49 ans";"Sans objet";"non"
"001686795";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 15 à 49 ans";"Sans objet";"non"
"001686817";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"60 ans et plus";"Sans objet";"non"
"001641588";"13/01/2026 12:00";"Annuelle";"Taux";"sans objet";"France";"0";"Taux de variation naturelle";"Non corrigé";"Sans objet";"Sans objet";"Taux d'accroissement naturel";"non"
"001641585";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Solde naturel";"Non corrigé";"Sans objet";"Sans objet";"Excédent naturel";"non"
"001002694";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Ajustement statistique";"Non corrigé";"Sans objet";"Sans objet";"Ajustement statistique";"non"
"001686815";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 0 à 14 ans";"Sans objet";"non"
"000067675";"13/01/2026 12:00";"Annuelle";"Taux";"pour mille";"France métropolitaine";"0";"Taux de variation naturelle";"Non corrigé";"Sans objet";"Sans objet";"Taux d'accroissement naturel";"non"
"000067672";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Solde naturel";"Non corrigé";"Sans objet";"Sans objet";"Excédent naturel";"non"
"001686803";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"Moins de 20 ans";"Sans objet";"non"
"000067671";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population moyenne";"Non corrigé";"Sans objet";"Sans objet";"Population moyenne de la période";"non"
"001686816";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"Moins de 20 ans";"Sans objet";"non"
"001686806";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"75 ans et plus";"Sans objet";"non"
"001686786";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 20 à 59 ans";"Sans objet";"non"
"001686804";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 20 à 59 ans";"Sans objet";"non"
"001686812";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"75 ans et plus";"Sans objet";"non"
"000067670";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Sans objet";"Sans objet";"Population au début de la période";"non"
"001686794";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"75 ans et plus";"Sans objet";"non"
"001686819";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 15 à 49 ans";"Sans objet";"non"
"001686807";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 15 à 49 ans";"Sans objet";"non"
"001686809";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"Moins de 20 ans";"Sans objet";"non"
"001686784";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 0 à 14 ans";"Sans objet";"non"
"001686785";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"Moins de 20 ans";"Sans objet";"non"
"001002693";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Solde migratoire évalué";"Non corrigé";"Sans objet";"Sans objet";"Excédent migratoire";"non"
"001641584";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population moyenne";"Non corrigé";"Sans objet";"Sans objet";"Population moyenne de la période";"non"
"001641586";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Sans objet";"Sans objet";"Population au début de la période";"sans objet"
"001686787";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"60 ans et plus";"Sans objet";"non"
"001686796";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 0 à 14 ans";"Sans objet";"non"
"001641598";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Ajustement statistique";"Non corrigé";"Sans objet";"Sans objet";"Ajustement statistique";"non"
"001686808";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 0 à 14 ans";"Sans objet";"non"
"001686810";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 20 à 59 ans";"Sans objet";"non"
"001686802";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 0 à 14 ans";"Sans objet";"non"
"001686792";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 20 à 59 ans";"Sans objet";"non"
"001686801";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 15 à 49 ans";"Sans objet";"non"
"001686805";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"60 ans et plus";"Sans objet";"non"
"001686790";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 0 à 14 ans";"Sans objet";"non"
"001686797";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"Moins de 20 ans";"Sans objet";"non"
"001686814";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"De 20 à 59 ans";"Sans objet";"non"
"001686811";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"60 ans et plus";"Sans objet";"non"
"001686818";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Ensemble";"75 ans et plus";"Sans objet";"non"
"001686789";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"De 15 à 49 ans";"Sans objet";"non"
"001686793";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"60 ans et plus";"Sans objet";"non"
"001686800";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"75 ans et plus";"Sans objet";"non"
"001686788";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"75 ans et plus";"Sans objet";"non"
"001641597";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Solde migratoire évalué";"Non corrigé";"Sans objet";"Sans objet";"Excédent migratoire";"non"
"001686799";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"60 ans et plus";"Sans objet";"non"
"001686798";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France métropolitaine";"0";"Population au 1er janvier";"Non corrigé";"Femmes";"De 20 à 59 ans";"Sans objet";"non"
"001686791";"13/01/2026 12:00";"Annuelle";"Valeur absolue";"individus";"France";"0";"Population au 1er janvier";"Non corrigé";"Hommes";"Moins de 20 ans";"Sans objet";"non"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
